Vc,e_coli,b_longum,b_breve,b_vulgatus,ICP3,ICP1,ICP2,ICP2_Haiti,Sample
0.531730166845787,0.0575569979677453,1.61563454718586e-05,2.23915235750706e-06,1.61563454718586e-05,0,0.132324706579753,0,0,1319200
0.546474221823168,0.232523640267235,0.000879527598656736,0.000186005555431882,3.28972591388833e-05,0,0,0,0,1319450
0.000535773913329486,0.0406761396177929,4.64763424691522e-06,2.41319470512906e-06,0,3.32484603817781e-05,0,0,0,1319600
0.495975334274448,0.0247117489441866,1.02274204365018e-06,0,0.000618822857786089,0,0,0,0,1319650
0.668345193287613,0.01560076354884,9.1206442403148e-06,6.23353383330868e-06,1.55510265104648e-05,0,0,0,0,1321850
0.000240552254677709,0.844238528708519,6.73808770446374e-05,6.01632999529646e-05,0,0,0,0,0,1321900
0.24071245039454,0.0199339129084793,7.60759282197361e-06,7.27097367055885e-06,0.000695219533416907,0,0,0,0,1323500
0.418698118512057,1.53981273598208e-05,1.44742397182315e-06,2.12494157565527e-06,3.01187371158094e-05,0,0,0,0,1323750
0.19379133816205,0.00141797100343682,0.000127467542968725,7.49885392732041e-05,0.00182839703110253,0,0,0,0,1325700
0.047594601017413,0.0037341585868041,1.80358867768865e-06,0,4.46602910665762e-06,0,0,0,0,1326450
0.885114504446398,0.00830463198683699,3.80668486854185e-06,3.45773875559218e-06,0.000290703834460979,0,7.89887110222433e-06,0,0,1331650
0.88890170689214,0.000378014741292635,0,7.60816643488117e-06,6.15492116080274e-06,0,0.0110899283990328,0,0,1335800
0.000515569937276979,0.0818888273233006,5.54976839025688e-05,6.51610186395975e-06,6.90174870896961e-05,0.0019234025576808,0,0,0,1339300
0.335139478385017,0.0582439899455017,2.26024179957337e-05,1.08171721134145e-05,0.000638297335019185,1.65414343991124e-05,0.289256022681547,0,0,1343350
0.174235224280456,0.00477465431183377,3.08703436511351e-06,4.11604582015135e-06,5.59782231540584e-06,0,0.742071034554122,0,0,1346150
0.0579962604031448,0.0367055555403975,0.000595439860661151,6.62954392975563e-05,0.000377280262692485,0,0,0,0,1350900
0.000158024611320235,0.756513948230148,9.20265011599803e-06,9.271326609401e-06,0,0,0,0,0,1351200
0.887476463392627,0.0104005481012614,0.000564252202696613,2.83850612752599e-05,0.000399848782154011,0,0,0,0,1356500
0.750946330108409,0.0140988152909245,4.67866604706962e-05,2.52759807164398e-05,0.000129138638940631,0,0,0,0,1362500
0.353397679360833,0.0334485385109727,0.00034631033005124,0.000143814635491426,0.00265563183721188,0,0,0,0,1362600
0.96552349918515,0.00175019186905678,0,0,1.93434114617239e-06,0,0,0,0,1365100
0.549000865602282,0.000466003763119461,1.63387244770159e-05,3.0732362706768e-06,4.10413198172662e-05,0,0,0,0,1365150
0.058284575950369,0.411640879728146,6.17294330832724e-06,2.34146125488274e-06,0,0,0.163731290216814,0,0,1366350
0.0699930264973787,0.000220157790785541,0,8.4605333133959e-06,4.4785649169824e-05,0,0.573564383141137,0,0,1368050
0.915265124743026,0.0105702445455118,0,0,2.56890136427492e-05,0,0,0,0,1373300
0.963005944795408,0.000156052688895513,0.000964984636400942,2.10070927359345e-05,1.27101737561956e-06,0,0,0,0,1376450
0.00415640046848566,0.184978093957403,6.56639049147616e-05,0.000198943738342081,9.70589511126534e-06,0,1.78935496464668e-06,0,0,1383600
