Vibrio.cholerae,Escherichia.coli,Escherichia.albertii,Klebsiella.pneumoniae,Shigella.dysenteriae,Shigella.flexneri,Shigella.boydii,Salmonella.enterica,Brachyspira.pilosicoli,Faecalibacterium.prausnitzii,Roseburia.Lachnospiraceae bacterium GAM79,Roseburia.[Eubacterium] rectale,Roseburia.intestinalis,Streptococcus.pasteurianus,Streptococcus.gallolyticus,Streptococcus.equinus,Streptococcus.mitis,Streptococcus.infantarius,Streptococcus.lutetiensis,Lactobacillus.ruminis,Enterococcus.faecium,Bifidobacterium.longum,Bifidobacterium.breve,Bifidobacterium.kashiwanohense,Collinsella.aerofaciens,Fusobacterium.mortiferum,Bacteroides.thetaiotaomicron,Bacteroides.vulgatus,Bacteroides.fragilis,Prevotella.dentalis,Prevotella.intermedia,Prevotella.ruminicola,ICP3,Bifidobacterium.pseudocatenulatum,Bifidobacterium.adolescentis,ICP1,ICP2,Sample
0.458133802251743,0.124154806858967,0.00132325083466491,0.00054665787148385,0.000942639768826877,0.00132236204508809,0.000409941121873075,0.000743916875797983,0,0.000163955536053305,7.50242966315346e-05,5.63074337785106e-05,4.62170579946178e-05,0.000159197897730329,1.76189463169527e-05,0.00097981208583386,0.00148318067675262,8.38076289201045e-05,3.12121986683109e-05,3.02188456118655e-05,2.08081324455406e-05,3.38785673987696e-05,2.98005916933622e-05,7.476288793247e-06,7.55993957694766e-05,5.38501920073036e-06,7.86317366786258e-05,0.000200605035662159,0.000238561578766336,3.58129917718475e-05,3.89498961606225e-05,1.32795619124807e-05,0,5.00859067407736e-05,2.04944420066631e-05,0.223801711672792,0,1277300
0.000930783289421416,0.073762026698106,0.000231991496574226,0.000115542967427817,0.000213846722879466,0.000142441504402304,9.81360588370951e-05,0.000346662441606362,0.00013583425778887,0.000177523636167035,4.69550520751651e-05,0.000159513019763918,5.33610627511341e-05,0.000238129192666909,0.000181716051530889,0.000749805102994565,0.000743466170964418,0.00483878519499159,0.000920620874579434,0.0276410305050874,0.000107963080449969,0.000111350552063963,2.80053346305449e-05,0.000571577141046403,1.67696614554161e-05,0.000125135213780315,0.000152670997890108,0.000142206729141929,0.000440840860339979,2.01571330694102e-05,3.0789098432144e-05,2.79047166618124e-05,0,0.000402404796284165,0.000433764063205793,0.618096919788831,0,1277550
0.400106065746823,0.168577127090605,0.00117884181678699,0.000482709039647618,0.00115818626555418,0.000954072788839775,0.000599214488719398,0.00116520711794366,0,0.000813655741050207,6.6901600667856e-05,0.00180690285119359,6.01351269881413e-05,8.34362168024973e-06,7.63136129291133e-06,3.55112678830141e-05,5.881235769737e-05,0.000141281935402765,8.25713291893006e-05,0.000162242741087295,5.24020142113245e-06,7.88574000267505e-06,7.47873406705311e-06,5.80492215680789e-05,0.000168907463283104,0,0.000349923353150961,0.000162090113861437,0.000380804928516276,0.000260025917120466,0.000269081799188054,0.000446638138603124,0,4.36513865954528e-05,0.000132785686496657,0.0964462632861364,0,1277850
0.0461414991209691,0.0163359598091766,0.000184097215602986,0.000208977020465274,0.000103988246059803,7.13710219910127e-05,6.25663725491308e-05,0.00023105534595969,0.0356723040213435,0.00992884309107496,0.00561283061542032,0.0042889982103216,0.00620040756188651,5.51624627911846e-05,1.40740987290689e-05,2.55468237593999e-05,0.000827303538088346,5.1160349408511e-05,4.73583416949711e-05,9.26489248088941e-05,0.000163286226013083,8.97140416616001e-05,6.75690142774728e-05,3.63525298926186e-05,0.00544207377775958,2.84817069066939e-05,0.00481214113132675,0.00287691920513493,0.00545894935585652,0.00712142725501913,0.00722328104060818,0.00840683937164419,0.0045688793395499,5.08268399599549e-05,0.0017657324244356,0,0,1277967
0.00112671492923467,1.51012637733566e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83710976848381e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279435
0.43116696037374,8.59453049438955e-05,0,4.97678825955742e-06,0,0,0,5.58931604534911e-06,0,0,0,0,0,4.0579965808699e-06,0,0,7.96286121529188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279444
3.55756369472401e-05,0.881960796477031,0.00312098500442001,0.00250079458012424,0.00320788626904065,0.00213446913792771,0.00154128856614917,0.00389694836331001,0.000489631290644733,0,4.17927385496704e-05,0,2.49374853164149e-05,0.0381218854479688,0.00215166978569444,0.0010127658510359,4.26216854299944e-05,0.00275389969424985,0.00106091384900138,0,0.000278180757255409,3.03947189452148e-06,6.42433832251132e-06,3.41940588133667e-05,0,0,2.21052501419744e-06,0,0,0,1.99638040344707e-05,0,9.78157318782368e-05,2.46611696896402e-05,3.52302424137717e-06,0,0,1279448
0.113120656072942,0.00206155120182862,1.69848868307976e-05,0.000964969727185537,1.49990916043113e-05,8.61919630219578e-06,7.60517320781981e-06,2.72096196990886e-05,2.40830484914294e-05,4.23354641901969e-05,2.29422725102564e-05,1.62243695100156e-05,2.4885816774477e-05,5.32362124547387e-05,0.000340923014521656,0.00031037556880358,0.000813795784198985,0.00868274174944334,8.70369822672711e-05,0,1.61398675854843e-05,8.79242524748501e-05,2.87306543406526e-05,0.00142478694952278,4.43635103789489e-06,0,0.000263350247801894,0.000208635251667857,0.000135541086948255,0.000307882762029905,0.000503462466357671,0.000416890244675322,0.00451155775072777,0.000873031633295448,0.000115260625060736,0,0,1280950
0.551306374261599,0.126646689954573,0.000455223230235058,0.000193896508520578,0.000283737467849389,0.000212387353829769,0.000180434222856498,0.00068546791004865,0,4.06244267392511e-05,0.000100016863492542,2.25691259662506e-05,0.000122823559205806,0.0349955283434368,0.0019966153438143,0.000245053194044079,0.000476604507466243,0.000219039306746137,0.000470467289001736,0,0.0191105063993173,6.15701594342451e-05,0.000101046332396266,0.00161899823093688,2.57367225930928e-06,0,4.83058485593434e-06,2.21731763878953e-06,0.000372905312894997,0,1.71050217849478e-05,0,0,0.00107520108002375,0.000186413061489663,0,0,1281033
0.000170552845123233,0.104065395048307,0.000481199317844939,0.000159852226331792,0.000504806384740092,0.000325383289829217,0.00027192712841057,0.000282111489277863,4.08313085462886e-06,0.0126178599241129,0.00425626498937283,0.000889183875537911,0.000480776924997908,1.28595155651529e-05,0,3.63257848446291e-05,1.15923370240612e-05,0,0,8.77638471052409e-06,2.5625166053188e-05,3.29466420683846e-05,1.23901901795634e-05,5.39724193427952e-06,0.00184759324545028,3.51994039192143e-06,0.000563847518247254,0.000278732346501618,0.00103495634030202,0.000821225559704548,0.000791892723105203,0.000863089384099134,0,5.58497208851533e-06,8.02546409358085e-06,0,0,1281050
